"","common","n"
"233","Surfperch, rubberlip",12
"234","Surfperch, shiner",9
"235","Surfperch, unspecified",12
"236","Surfperch, walleye",10
"237","Surfperch, white",3
"238","Swordfish",12
"239","Thornyhead, longspine",12
"240","Thornyhead, shortspine",12
"241","Thornyheads",12
"242","Tomcod, Pacific",6
"243","Topsmelt",4
"244","Trawled fish, unspecified",5
"245","Triggerfish",5
"246","Tuna, albacore",11
"247","Tuna, bigeye",11
"248","Tuna, bluefin",11
"249","Tuna, skipjack",11
"250","Tuna, skipjack, black",2
"251","Tuna, unspecified",9
"252","Tuna, yellowfin",11
"253","Turbot",11
"254","Turbot, curlfin",7
"255","Turbot, diamond",3
"256","Turbot, hornyhead",6
"257","Wahoo",11
"258","Whitefish, ocean",11
"259","Whiting, Pacific",11
"260","Wrasse, rock",6
"261","Yellowtail",11
"262","Zebraperch",2
