,TL,DemersPelag,DepthRangeShallow,DepthRangeDeep,Length,BodyShapeI,References TL,References shallow depth,references body shape
Sebastes melanops,4.38,reef-associated,0,366,63,fusiform / normal,,,
Sebastes melanostomus,3.8,bathydemersal,124,769,61,fusiform / normal,Trophic Level (Ref. 69278): 3.8 ±0.7 se; Based on size and trophs of closest relatives,,
Sebastes mystinus,2.71,reef-associated,0,550,61,fusiform / normal,,,
Sebastes nigrocinctus,3.52,reef-associated,10,275,61,fusiform / normal,,,
Sebastes ovalis,3.8,demersal,80,365,56,fusiform / normal,Trophic Level (Ref. 69278): 3.8 ±0.6 se; Based on size and trophs of closest relatives,,
Sebastes paucispinis,3.5,reef-associated,0,476,91,fusiform / normal,Trophic Level (Ref. 69278): 3.5 ±0.46 se; Based on food items.,https://books.google.cl/books?id=4ohRAQAAIAAJ&pg=RA7-PP64&lpg=RA7-PP64&dq=Sebastes+ovalis+depth&source=bl&ots=231hV2uJOu&sig=ACfU3U0kQBOTc2V2uWyn7Eczut4OSW7bIg&hl=en&sa=X&ved=2ahUKEwiKwPXxqannAhW5E7kGHTzYDHEQ6AEwAnoECAkQAQ#v=onepage&q=Sebastes%20ovalis%20depth&f=false,
Sebastes pinniger,3.8,demersal,0,838,76,fusiform / normal,Trophic Level (Ref. 69278): 3.8 ±0.61 se; Based on food items.,,
Sebastes proriger,3.8,bathydemersal,12,425,61,fusiform / normal,Trophic Level (Ref. 69278): 3.8 ±0.7 se; Based on size and trophs of closest relatives,,
Sebastes rastrelliger,3.9,demersal,0,46,56,fusiform / normal,Trophic Level (Ref. 69278): 3.9 ±0.61 se; Based on food items.,,
Sebastes reedi,3.9,bathydemersal,137,375,58,fusiform / normal,Trophic Level (Ref. 69278): 3.9 ±0.65 se; Based on food items.,,
Sebastes rosaceus,3.7,demersal,15,128,36,fusiform / normal,Trophic Level (Ref. 69278): 3.7 ±0.6 se; Based on size and trophs of closest relatives,,
Sebastes rosenblatti,3.8,demersal,61,396,48,fusiform / normal,Trophic Level (Ref. 69278): 3.8 ±0.6 se; Based on size and trophs of closest relatives,,
Sebastes ruberrimus,4.43,reef-associated,15,549,104,fusiform / normal,,,
Sebastes rubrivinctus,3.8,demersal,0,302,51,fusiform / normal,Trophic Level (Ref. 69278): 3.8 ±0.6 se; Based on size and trophs of closest relatives,,
Sebastes rufus,3.8,demersal,31,247,54,fusiform / normal,Trophic Level (Ref. 69278): 3.8 ±0.6 se; Based on size and trophs of closest relatives,,
Sebastes saxicola,3.7,demersal,9,547,38,fusiform / normal,Trophic Level (Ref. 69278): 3.7 ±0.6 se; Based on size and trophs of closest relatives,,
Sebastes semicinctus,3.6,demersal,58,402,25,fusiform / normal,Trophic Level (Ref. 69278): 3.6 ±0.6 se; Based on size and trophs of closest relatives,,
Sebastes serranoides,4.15,reef-associated,0,146,61,fusiform / normal,,,
Sebastes wilsoni,3.6,demersal,30,274,23,fusiform / normal,Trophic Level (Ref. 69278): 3.6 ±0.6 se; Based on size and trophs of closest relatives,,
Sebastes zacentrus,3.7,bathydemersal,26,476,39,fusiform / normal,Trophic Level (Ref. 69278): 3.7 ±0.6 se; Based on size and trophs of closest relatives,,
Sebastolobus alascanus,3.62,demersal,17,1600,80,fusiform / normal,,,
Sebastolobus altivelis,3.3,bathydemersal,201,1757,39,fusiform / normal,Trophic Level (Ref. 69278): 3.3 ±0.3 se; Based on size and trophs of closest relatives,,
Somniosus pacificus,4.36,benthopelagic,0,2205,440,elongated,,,
Spirinchus starksi,3.5,benthopelagic,0,128,23,elongated,Trophic Level (Ref. 69278): 3.5 ±0.50 se; Based on food items.,http://www.opc.ca.gov/webmaster/_media_library/2019/08/Draft_Marine-Species-Report_Night-Smelt.pdf,
Spirinchus thaleichthys,3.2,benthopelagic,5,137,20,elongated,Trophic Level (Ref. 69278): 3.2 ±0.35 se; Based on food items.,https://wildlife.ca.gov/Conservation/Fishes/Longfin-Smelt,
Squalus suckleyi,4.5,benthopelagic,15,1244,140,fusiform / normal,Trophic Level (Ref. 69278): 4.5 ±0.4 se; Based on size and trophs of closest relatives,,
Squatina californica,4.14,demersal,3,205,152,other,,,
Stenobrachius leucopsarus,3.1,bathypelagic,31,3400,13,fusiform / normal,,,
Sternoptyx diaphana,3.44,bathypelagic,400,3676,5.5,short and / or deep,,,
Stomias atriventer,4,bathypelagic,100,1500,25,elongated,Trophic Level (Ref. 69278): 4.0 ±0.65 se; Based on food items.,,
Symbolophorus californiensis,3.1,pelagic-oceanic,557,1497,11,elongated,Trophic Level (Ref. 69278): 3.1 ±0.27 se; Based on food items.,,
Synodus lucioceps,4.5,reef-associated,1,229,64,elongated,Trophic Level (Ref. 69278): 4.5 ±0.80 se; Based on food items.,,
Tactostoma macropus,4.2,bathypelagic,30,2000,34.3,eel-like,,,
