"","COD_ESP","nombre_comun","simbolo","cientifico","SpecCode","Genus","Author","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","DemersPelag","Amphibious","AmphibiousRef","AnaCat","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","ImportanceRef","Importance","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","Comments","Profile","PD50","TL"
"21",103,"Raya volantín espinuda","dtr","Dipturus trachyderma","50858","Dipturus","(Krefft & Stehmann, 1975)","19","Rajinae","3644",NA,"other","bathydemersal",NA,NA,NA,"93","450","27092",NA,NA,NA,NA,NA,NA,NA,"85.59","264","TL",NA,NA,"114953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","never/rarely",NA,NA,"Occurs on sandy and muddy bottoms of outer continental shelf and upper slope, also found at shallower depth 20m. Feeds mainly on bony fishes and crustaceans (Ref. 114953). Oviparous (Ref. 50449).  Eggs have horn-like projections on the shell (Ref. 205); egg cases ca. 20-30 cm long (Ref. 114953). Reaches maturity at ca. 13 years (Ref. 114953).",NA,"0.5",NA
"22",27,"Reineta","bau","Brama australis","54793","Brama","Valenciennes, 1838","319",NA,"1624",NA,"short and / or deep","pelagic-neritic",NA,NA,NA,"15","120","31416",NA,NA,NA,NA,NA,NA,NA,"57.66","47","SL",NA,NA,"31416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","never/rarely",NA,NA,NA,NA,"0.5039",NA
"23",53,"Sierra","ta","Thyrsites atun","489","Thyrsites","(Euphrasen, 1791)","414",NA,"8539",NA,"elongated","benthopelagic",NA,NA,"oceanodromous","0","550","6390","100","500","6181","10","28892",NA,NA,"62.58","200","SL",NA,NA,"3630","75","SL",NA,NA,"6181","6000",NA,"6181","4931","highly commercial","from 50,000 to 100,000","New Zealand and South Africa","hooks and lines","trolling lines (LTL)","0","0","0","0","-1","-1","0","0","-1","-1","never/rarely",NA,NA,"Inhabit continental shelves or around islands.  Feed on pelagic crustaceans (<i>Euphausia</i>, <i>Nyctiphanes</i>), cephalopods and fishes (Ref. 6181) like anchovy and pilchard (Ref. 36731).  Form schools near the bottom or midwater; sometimes even at the surface at night (Ref. 6181).  Prefers temperature between 13<b0> and 18<b0>C (Ref. 36731).  Marketed fresh, smoked, canned and frozen; eaten fried, broiled, microwaved and baked (Ref. 9988).  Good for fish and chips or smoking; also made into fillet or fish cake in Japan (Ref. 6181).",NA,"1","3.63"
"24",61,"Tiburón negro narigón","ana","Apristurus nasutus","776","Apristurus","de Buen, 1959","10",NA,"8966",NA,"elongated","bathydemersal",NA,NA,NA,"400","925","244",NA,NA,NA,NA,NA,NA,NA,"54.72","70","TL",NA,NA,"9996",NA,NA,NA,NA,NA,NA,NA,NA,"171","of no interest",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","never/rarely",NA,NA,"Found on the upper continental slopes.  Oviparous (Ref. 50449).",NA,"0.5",NA
"25",85,"Tiburón vaca","hgr","Hexanchus griseus","637","Hexanchus","(Bonnaterre, 1788)","5",NA,"5258",NA,"elongated","bathydemersal",NA,NA,"oceanodromous","1","2500","58302","180","1100","45445",NA,NA,NA,NA,"84","482","TL",NA,NA,"247","300","TL",NA,NA,"5217","590000",NA,"27436","171","commercial","from 1,000 to 10,000",NA,"various gears",NA,"-1","-1","0","-1","0","-1","0","0","-1","0","never/rarely",NA,NA,"Depth range reported at 0m-2000m. A deepwater species of the outer continental and insular shelves and upper slopes (Ref. 6871).  Near bottom, occasionally pelagic, adults usually below 91 m (Ref. 58302).  Juveniles may be found close inshore (Ref. 6871).  Found on the bottom by day, moving to the surface at night to feed, and where it may take longlines set for other species (Ref. 45445).  Depth distribution related to growth and temperature, with juveniles having most shallow records and from colder, poleward regions (Ref. 58302).  Feeds on a wide range of marine organisms, including other sharks, rays, chimaeras, bony fish, squids, crabs, shrimps, carrion, and even seals.  Ovoviviparous (Ref. 205), with 22 to 108 pups in a litter (Ref. 247).  Marketed fresh, frozen, or dried salted; also utilized as a source of oil and fishmeal.  Not known to have attacked people without provocation (Ref. 247).  Give birth to almost 100 young (Ref. 35388).",NA,"0.8281","4.48"
"26",25,"Tollo de cachos","sac","Squalus acanthias","139","Squalus","Linnaeus, 1758","13",NA,"128",NA,"elongated","benthopelagic",NA,NA,"oceanodromous","0","1460","26346","50","300","43939","75","39247",NA,NA,"64.21","95","TL","122",NA,"119696","100","TL",NA,NA,NA,"9100",NA,"11389","4931","commercial","from 10,000 to 50,000","mainly GBR, FRA, IRL and NOR in area 27","trawls","unspecified bottom trawls (TB)","-1","-1","0","0","0","0","0","0","-1","-1","never/rarely",NA,NA,"Possibly the most abundant living shark (Ref. 247). A demersal, inshore and offshore dogfish of the continental and insular shelf and upper slopes (Ref. 247, 11230, 119696). Usually near the bottom, but also in midwater and at the surface (Ref. 26346); occurs mainly between 10-200 m depth (Ref. 247). Males and gravid females usually found shallower than non-gravid females. Tolerates brackish water, often found in enclosed bays and estuaries. Reported to enter freshwater (Ref. 11980) but cannot survive there for more than a few hours (Ref. 247). Highly migratory species, used to be observed in large foraging schools with up to thousands of individuals, usually segregated by size and /or sex, with schools of large gravid females preferentially targeted by fisheries. Their latitudinal (north-south) and depth-related (nearshore-offshore) movements appear to be correlated with their preferred temperature (Ref. 247). Tagging experiments showed that populations in the northern North Sea and northwest Scotland made winter migrations to off Norway and summer migrations to Scotland (Ref. 88880, 88881). Transoceanic migrations recorded, but rare (Ref. 88864). Longevity in the northern Atlantic is about 35-50 years (Ref. 88882), but most live only 20-24 years (Ref. 88187). Growth is slow. At sexual maturity, males are 60-70 cm long, females 75-90 cm (Ref. 35388). Gestation period is 2 years (Ref. 36731). Ovoviviparous (Ref. 205). Feeds on a diversity of prey, ranging from comb jellyfish, squid, mackarel and herring to a wide array of benthic fishes, shrimps, crabs and even sea cucumbers (Ref. 93252). The only species of horned sharks that can inflict toxins with its tail. Detects weak electric fields generated by potential prey (Ref. 10311). Utilized for human consumption, liver oil, vitamins, sand paper, leather, fertilizer, etc. (Ref. 247, 27436). Eaten fried, broiled, and baked (Ref. 9988).",NA,"0.5","4.37"
"27",59,"Tollo narigón","etg","Etmopterus granulosus","679","Etmopterus","(G<fc>nther, 1880)","638",NA,"4127",NA,"elongated","pelagic-oceanic",NA,NA,NA,"220","1620","44037",NA,NA,NA,NA,NA,NA,NA,"50.01","74.9","TL",NA,NA,"101563",NA,NA,NA,NA,NA,NA,NA,NA,"171","of no interest",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","never/rarely",NA,NA,"Found on outermost continental shelves and upper slopes (Ref. 247).  Feeds on bony fish, squid, shrimp and crabs (Ref. 5578).  Ovoviviparous (Ref. 205), with 10-13 in a litter, size at birth about 18 cm (Ref. 6871).  Minimum depth reported taken from Ref. 247.",NA,"0.5","4.2"
"28",194,"Tollo negro peine","cni","Centroscyllium nigrum","660","Centroscyllium","Garman, 1899","638",NA,"2728",NA,"elongated","benthopelagic",NA,NA,NA,"269","1170","96339",NA,NA,NA,NA,NA,NA,NA,"43.35","51","TL",NA,NA,"96339",NA,NA,NA,NA,NA,NA,NA,NA,"247","of no interest",NA,NA,NA,NA,"0","0","0","-1","0","0","0","0","0","0","never/rarely",NA,NA,"A little-known deepwater dogfish found on the continental and insular slopes.  Incidentally caught in sablefish (<i>Anoplopoma</i>) traps but not utilized.  Feeds chiefly on other fishes and invertebrates (Ref. 28023).  Ovoviviparous (Ref. 205).",NA,"0.5078",NA
"29",884,"Tollo negro raspa","cgr","Centroscyllium granulatum","657","Centroscyllium","G<fc>nther, 1887","638",NA,"2728",NA,"elongated","bathypelagic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.86","28","TL",NA,NA,"247",NA,NA,NA,NA,NA,NA,NA,NA,"171","of no interest",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","never/rarely",NA,NA,"A poorly known deepwater shark caught at a depth of 448 m (Ref. 247).  Ovoviviparous (Ref. 205).  Maximum total length at least 28 cm (adult male holotype).",NA,"0.5078",NA
"30",323,"Tollo pajarito","dca","Deania calcea","670","Deania","(Lowe, 1839)","558",NA,"8487",NA,"elongated","bathydemersal",NA,NA,NA,"60","1490","26346","400","1400","10717",NA,NA,NA,NA,"65.8","122","TL",NA,NA,"26346",NA,NA,NA,NA,NA,NA,NA,NA,"171","minor commercial",NA,NA,"trawls","unspecified bottom trawls (TB)","0","0","0","0","0","0","0","0","-1","0","never/rarely",NA,NA,"Found on the outer continental and insular shelves and upper slopes (Ref. 247).  Usually on or near the bottom but sometimes found well above it (Ref. 5578).  Apparently in large schools (Ref. 5578).  Feeds on pelagic bony fish, squid, octopus and shrimp (Ref. 5578). Ovoviviparous (Ref. 50449). Caught very rarely by demersal longline fisheries operating in deepwater of Indonesia. Utilized for its meat, fins (low value) and liver oil (very high value) (Ref. 58048).",NA,"0.5625","4.33"
