"","cientifico","TL","DemersPelag","DepthRangeShallow","DepthRangeDeep","Length","BodyShapeI"
"32","Chauliodus macouni","4.5","bathypelagic","25","4390","29.3","elongated"
"33","Chesnonia verrucosa","3.2","demersal","18","425","20","elongated"
"34","Chiasmodon niger","4.2","pelagic-oceanic","700","2745","25","elongated"
"35","Chilara taylori","4.1","demersal","0","280","40.4","eel-like"
"36","Chitonotus pugetensis","3.6","demersal","0","142","23","elongated"
"37","Citharichthys sordidus","3.46","demersal","0","549","41","fusiform / normal"
"38","Citharichthys xanthostigma",NA,NA,NA,NA,NA,NA
"39","Coryphaenoides acrolepis","3.8","bathydemersal","300","3700","104","elongated"
"40","Cymatogaster aggregata","3","demersal","1","146","20.3","short and / or deep"
"41","Elassodiscus caudatus","3.4","bathydemersal","335","1040","8.5","elongated"
"42","Embassichthys bathybius","3.4","bathydemersal","41","1800","47","short and / or deep"
"43","Engraulis mordax","3.1","pelagic-neritic","0","310","24.8","elongated"
"44","Enophrys taurina","3.5","demersal","11","256","17","fusiform / normal"
"45","Eopsetta jordani","4.1","demersal","0","550","53","short and / or deep"
"46","Eptatretus deani","3.8","bathydemersal","103","2743","63.5","eel-like"
"47","Eptatretus stoutii","4.2","demersal","16","966","63.5","eel-like"
"48","Facciolella gilbertii",NA,NA,NA,NA,NA,NA
"49","Galeorhinus galeus","4.34","benthopelagic","0","1100","193","elongated"
"50","Genyonemus lineatus","3.4","benthopelagic","3","183","41","fusiform / normal"
"51","Glyptocephalus zachirus","3.25","demersal","0","900","60","short and / or deep"
"52","Hemilepidotus spinosus","3.5","demersal","0","780","29","elongated"
"53","Hexagrammos decagrammus","3.6","demersal","0","46","61","fusiform / normal"
"54","Hexanchus griseus","4.48","bathydemersal","1","2500","482","elongated"
"55","Hippoglossina stomata","4","demersal","30","137","40","fusiform / normal"
"56","Hydrolagus colliei","3.7","demersal","0","913","100","elongated"
"57","Hyperprosopon anale","3.3","demersal","0","101","20","fusiform / normal"
"58","Icelinus filamentosus","3.5","demersal","18","800","27","elongated"
"59","Icichthys lockingtoni","3.7","pelagic-oceanic","0","900","46","short and / or deep"
"60","Icosteus aenigmaticus","4.5","bathypelagic","0","1420","213","short and / or deep"
"61","Idiacanthus antrostomus","3.8","bathypelagic","0","1103","33","elongated"
"62","Kathetostoma averruncus","4.3","bathydemersal","13","384","32","fusiform / normal"
"63","Lepidopsetta bilineata","3.18","demersal","0","575","58","short and / or deep"
"64","Leptocottus armatus","3.7","demersal","0","156","46","elongated"
"65","Leuroglossus schmidti","3.12","bathypelagic","394","1800","20","elongated"
"66","Leuroglossus stilbius","3.3","bathypelagic","100","850","15","elongated"
"67","Lycenchelys camchatica","3.3","bathydemersal","200","2100","14.5","elongated"
"68","Lycenchelys crotalinus","3.5","bathydemersal","200","2816","42.2","elongated"
"69","Lycodapus endemoscotus","3.3","bathypelagic","555","2225","12.4","elongated"
"70","Lycodapus fierasfer","3.3","bathypelagic","50","2212","15","elongated"
"71","Lycodapus mandibularis","3.3","bathypelagic","100","1370","20","eel-like"
"72","Lycodes cortezianus","3.5","bathydemersal","73","620","50","elongated"
"73","Lycodes diapterus","3.4","bathydemersal","146","844","33","eel-like"
"74","Lycodes pacificus","3.3","bathydemersal","9","399","46","elongated"
"75","Lyopsetta exilis","3.45","bathydemersal","25","800","35","short and / or deep"
"76","Macropinna microstoma","3.6","bathypelagic","16","1267","15","fusiform / normal"
"77","Melamphaes lugubris",NA,NA,NA,NA,NA,NA
"78","Melanocetus johnsonii",NA,NA,NA,NA,NA,NA
"79","Merluccius productus","4.35","pelagic-neritic","0","1000","91","elongated"
"80","Microstomus pacificus","3.22","demersal","10","1370","76","short and / or deep"
"81","Mustelus californicus","3.52","demersal","0","200","116","elongated"
"82","Mustelus henlei","3.61","demersal","0","281","100","elongated"
"83","Myliobatis californica","3.24","demersal","0","108","180","other"
"84","Nemichthys scolopaceus",NA,NA,NA,NA,NA,NA
"85","Nezumia liolepis","3.3","bathydemersal","768","1660","30","elongated"
"86","Nezumia stelgidolepis","4.4","bathydemersal","277","909","45","elongated"
"87","Oncorhynchus tshawytscha","4.4","benthopelagic","0","375","150","fusiform / normal"
"88","Ophiodon elongatus","4.53","demersal","0","475","152","elongated"
"89","Paralichthys californicus","4.5","demersal","0","183","152","short and / or deep"
"90","Paraliparis cephalus",NA,NA,NA,NA,NA,NA
"91","Paraliparis dactylosus","3.5","bathydemersal","541","1000","8.9","elongated"
"92","Paraliparis pectoralis",NA,NA,NA,NA,NA,NA
"93","Parmaturus xaniurus","3.78","bathydemersal","88","1250","45","elongated"
"94","Parophrys vetulus","3.4","demersal","0","550","49","short and / or deep"
"95","Peprilus simillimus","4","benthopelagic","9","91","28","short and / or deep"
"96","Physiculus rastrelliger","3.4","demersal","128","523","25","elongated"
"97","Platichthys stellatus","3.58","demersal","0","375","91","short and / or deep"
"98","Pleuronichthys decurrens","3.9","demersal","8","533","37","short and / or deep"
